campaign_id,timestamp,recipient,company_name,audience,subject,status,mode,error
camp_20260814_121122_464267,2026-08-14T12:11:42.792588+00:00,astrid.buyer@nordicsound.se,Nordic Sound & Soul,business,Direct Export Catalog & Partnership Inquiry: Premium Handcrafted Singing Bowls for Nordic Sound & Soul,SKIPPED_DUPLICATE,TEST,SKIPPED_DUPLICATE (Already contacted in sent_log.csv)
camp_20260814_121122_464267,2026-08-14T12:11:42.792588+00:00,buyer.sophie@lotusliving.co.uk,Lotus Living Global,business,Direct Export Catalog & Partnership Inquiry: Premium Handcrafted Singing Bowls for Lotus Living Global,SKIPPED_DUPLICATE,TEST,SKIPPED_DUPLICATE (Already contacted in sent_log.csv)
camp_20260814_121122_464267,2026-08-14T12:11:42.792588+00:00,chloe.procurement@maplewellness.ca,Maple Leaf Wellness Inc,business,Direct Export Catalog & Partnership Inquiry: Premium Handcrafted Singing Bowls for Maple Leaf Wellness Inc,SKIPPED_DUPLICATE,TEST,SKIPPED_DUPLICATE (Already contacted in sent_log.csv)
camp_20260814_121122_464267,2026-08-14T12:11:42.792588+00:00,compras@solylunadist.es,Sol y Luna Distribuciones,business,Direct Export Catalog & Partnership Inquiry: Premium Handcrafted Singing Bowls for Sol y Luna Distribuciones,SKIPPED_DUPLICATE,TEST,SKIPPED_DUPLICATE (Already contacted in sent_log.csv)
camp_20260814_121122_464267,2026-08-14T12:11:42.792588+00:00,contact@aurawellness.de,Aura Wellness Wholesale,business,Direct Export Catalog & Partnership Inquiry: Premium Handcrafted Singing Bowls for Aura Wellness Wholesale,SKIPPED_DUPLICATE,TEST,SKIPPED_DUPLICATE (Already contacted in sent_log.csv)
camp_20260814_121122_464267,2026-08-14T12:11:42.792588+00:00,import@zenithhealing.com,Zenith Sound Healing Imports Ltd,business,Direct Export Catalog & Partnership Inquiry: Premium Handcrafted Singing Bowls for Zenith Sound Healing Imports Ltd,SKIPPED_DUPLICATE,TEST,SKIPPED_DUPLICATE (Already contacted in sent_log.csv)
camp_20260814_121122_464267,2026-08-14T12:11:42.792588+00:00,info@holisticgoods.com,Holistic Goods LLC,business,Direct Export Catalog & Partnership Inquiry: Premium Handcrafted Singing Bowls for Holistic Goods LLC,SKIPPED_DUPLICATE,TEST,SKIPPED_DUPLICATE (Already contacted in sent_log.csv)
camp_20260814_121122_464267,2026-08-14T12:11:42.792588+00:00,klaus.s@alpensound.at,Alpen Sound & Spa Imports,business,Direct Export Catalog & Partnership Inquiry: Premium Handcrafted Singing Bowls for Alpen Sound & Spa Imports,SKIPPED_DUPLICATE,TEST,SKIPPED_DUPLICATE (Already contacted in sent_log.csv)
camp_20260814_121122_464267,2026-08-14T12:11:42.792588+00:00,liam@celticwellbeing.ie,Celtic Wellbeing Distribution,business,Direct Export Catalog & Partnership Inquiry: Premium Handcrafted Singing Bowls for Celtic Wellbeing Distribution,SKIPPED_DUPLICATE,TEST,SKIPPED_DUPLICATE (Already contacted in sent_log.csv)
camp_20260814_121122_464267,2026-08-14T12:11:42.792588+00:00,purchasing@australiansound.com.au,Australasian Sound Supplies Pty,business,Direct Export Catalog & Partnership Inquiry: Premium Handcrafted Singing Bowls for Australasian Sound Supplies Pty,SKIPPED_DUPLICATE,TEST,SKIPPED_DUPLICATE (Already contacted in sent_log.csv)
camp_20260814_121122_464267,2026-08-14T12:11:42.792588+00:00,wholesale@kyotozenharmonix.jp,Kyoto Zen Harmonix,business,Direct Export Catalog & Partnership Inquiry: Premium Handcrafted Singing Bowls for Kyoto Zen Harmonix,SKIPPED_DUPLICATE,TEST,SKIPPED_DUPLICATE (Already contacted in sent_log.csv)
camp_20260814_161145_e3a0ef,2026-08-14T16:11:47.010948+00:00,support@pashminavogue.com,Pashmina Vogue™,single_lead,Direct Export Catalog & Partnership Inquiry: Premium Handcrafted Handmade Pashmina for Pashmina Vogue™,SKIPPED_DAILY_LIMIT,TEST,SKIPPED_DAILY_LIMIT (Daily send quota exhausted)
camp_20260814_161439_c3a72c,2026-08-14T16:14:40.877828+00:00,support@pashminavogue.com,Pashmina Vogue™,single_lead,Direct Export Catalog & Partnership Inquiry: Premium Handcrafted Handmade Pashmina for Pashmina Vogue™,TEST_MODE_SUCCESS,TEST,
camp_20260814_161758_ee9333,2026-08-14T16:18:00.304777+00:00,support@pashminavogue.com,Pashmina Vogue™,single_lead,Direct Export Catalog & Partnership Inquiry: Premium Handcrafted Handmade Pashmina for Pashmina Vogue™,SKIPPED_DUPLICATE,TEST,SKIPPED_DUPLICATE (Already contacted in sent_log.csv)
